[Point Spectroscopy Data]
Approach Rate=1.0000 µm/sec
Retreat Rate=1.0000 µm/sec
Z Start=-5.5000 µm
Z End=5.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
&Z Piezo Linerizer On=yes
Trigger on:Deflection Signal   >==0.128600 µm

[Series layout]
Points Number=508
Series Number=1
Trace Z Position, µm	Deflection Signal, µN	Retrace Z Position, µm	Deflection Signal, µN

[Data]
 -1.177409	  0.002537	 -4.370968	  0.003561
 -1.166657	  0.002540	 -4.381721	  0.003574
 -1.155904	  0.002532	 -4.392474	  0.003584
 -1.145151	  0.002542	 -4.403226	  0.003607
 -1.134399	  0.002521	 -4.413979	  0.003619
 -1.123646	  0.002542	 -4.424732	  0.003608
 -1.112893	  0.002513	 -4.435484	  0.003619
 -1.102141	  0.002513	 -4.446237	  0.003643
 -1.091388	  0.002486	 -4.456990	  0.003654
 -1.080635	  0.002498	 -4.467742	  0.003646
 -1.069883	  0.002491	 -4.478495	  0.003658
 -1.059130	  0.002497	 -4.489248	  0.003639
 -1.048377	  0.002456	 -4.500000	  0.003664
 -1.037624	  0.002466	 -4.510753	  0.003687
 -1.026872	  0.002455	 -4.521506	  0.003684
 -1.016119	  0.002464	 -4.532259	  0.003694
 -1.005366	  0.002423	 -4.543011	  0.003688
 -0.994614	  0.002420	 -4.553764	  0.003709
 -0.983861	  0.002420	 -4.564517	  0.003713
 -0.973108	  0.002413	 -4.575269	  0.003702
 -0.962356	  0.002395	 -4.586022	  0.003697
 -0.951603	  0.002406	 -4.596775	  0.003735
 -0.940850	  0.002333	 -4.607527	  0.003734
 -0.930098	  0.002217	 -4.618280	  0.003731
 -0.919345	  0.002257	 -4.629033	  0.003738
 -0.908592	  0.002317	 -4.639785	  0.003762
 -0.897839	  0.002378	 -4.650538	  0.003764
 -0.887087	  0.002431	 -4.661291	  0.003753
 -0.876334	  0.002499	 -4.672043	  0.003744
 -0.865581	  0.002550	 -4.682796	  0.003766
 -0.854829	  0.002611	 -4.693549	  0.003767
 -0.844076	  0.002671	 -4.704301	  0.003761
 -0.833323	  0.002747	 -4.715055	  0.003768
 -0.822571	  0.002787	 -4.725807	  0.003780
 -0.811818	  0.002864	 -4.736560	  0.003794
 -0.801065	  0.002914	 -4.747312	  0.003785
 -0.790313	  0.002962	 -4.758065	  0.003786
 -0.779560	  0.003022	 -4.768818	  0.003799
 -0.768807	  0.003079	 -4.779571	  0.003814
 -0.758054	  0.003146	 -4.790323	  0.003805
 -0.747302	  0.003207	 -4.801076	  0.003811
 -0.736549	  0.003255	 -4.811828	  0.003820
 -0.725796	  0.003326	 -4.822581	  0.003819
 -0.715044	  0.003373	 -4.833334	  0.003811
 -0.704291	  0.003447	 -4.844087	  0.003811
 -0.693538	  0.003520	 -4.854839	  0.003804
 -0.682786	  0.003551	 -4.865592	  0.003802
 -0.672033	  0.003631	 -4.876345	  0.003812
 -0.661280	  0.003696	 -4.887097	  0.003816
 -0.650528	  0.003741	 -4.897850	  0.003799
 -0.639775	  0.003817	 -4.908603	  0.003820
 -0.629022	  0.003878	 -4.919355	  0.003816
 -0.618270	  0.003926	 -4.930108	  0.003825
 -0.607517	  0.003972	 -4.940861	  0.003830
 -0.596764	  0.004045	 -4.951613	  0.003826
 -0.586011	  0.004113	 -4.962366	  0.003826
 -0.575259	  0.004167	 -4.973119	  0.003824
 -0.564506	  0.004233	 -4.983871	  0.003801
 -0.553753	  0.004311	 -4.994624	  0.003821
 -0.543001	  0.004365	 -5.005377	  0.003820
 -0.532248	  0.004416	 -5.016129	  0.003799
 -0.521495	  0.004476	 -5.026882	  0.003811
 -0.510743	  0.004533	 -5.037635	  0.003799
 -0.499990	  0.004594	 -5.048388	  0.003804
 -0.489237	  0.004655	 -5.059140	  0.003827
 -0.478485	  0.004732	 -5.069893	  0.003810
 -0.467732	  0.004785	 -5.080646	  0.003797
 -0.456979	  0.004842	 -5.091399	  0.003808
 -0.446227	  0.004905	 -5.102151	  0.003802
 -0.435474	  0.004955	 -5.112904	  0.003824
 -0.424721	  0.005024	 -5.123656	  0.003816
 -0.413968	  0.005083	 -5.134409	  0.003798
 -0.403216	  0.005158	 -5.145162	  0.003788
 -0.392463	  0.005210	 -5.155915	  0.003770
 -0.381710	  0.005282	 -5.166667	  0.003784
 -0.370958	  0.005337	 -5.177420	  0.003802
 -0.360205	  0.005397	 -5.188172	  0.003788
 -0.349452	  0.005478	 -5.198925	  0.003785
 -0.338700	  0.005524	 -5.209678	  0.003777
 -0.327947	  0.005594	 -5.220431	  0.003777
 -0.317194	  0.005643	 -5.231183	  0.003751
 -0.306442	  0.005717	 -5.241936	  0.003764
 -0.295689	  0.005777	 -5.252689	  0.003770
 -0.284936	  0.005840	 -5.263442	  0.003786
 -0.274184	  0.005904	 -5.274194	  0.003763
 -0.263431	  0.005955	 -5.284946	  0.003776
 -0.252678	  0.006007	 -5.295700	  0.003759
 -0.241925	  0.006090	 -5.306452	  0.003751
 -0.231173	  0.006152	 -5.317205	  0.003752
 -0.220420	  0.006199	 -5.327958	  0.003753
 -0.209667	  0.006265	 -5.338710	  0.003747
 -0.198915	  0.006326	 -5.349463	  0.003740
 -0.188162	  0.006391	 -5.360216	  0.003740
 -0.177409	  0.006448	 -5.370968	  0.003748
 -0.166657	  0.006522	 -5.381721	  0.003732
 -0.155904	  0.006574	 -5.392474	  0.003723
 -0.145151	  0.006647	 -5.403226	  0.003725
 -0.134399	  0.006700	 -5.413980	  0.003725
 -0.123646	  0.006750	 -5.424732	  0.003716
 -0.112893	  0.006837	 -5.435484	  0.003723
 -0.102141	  0.006908	 -5.446237	  0.003718
